PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,,0.00,24.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,12191,1219103,31453,HOU,"Houston, TX",TX,48,Texas,74,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,2025,1,1,1,F
0.00,,0.00,141.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,12094,1209402,34699,HDN,"Hayden, CO",CO,08,Colorado,82,2025,1,1,1,F
0.00,,0.00,152.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,12012,1201206,32012,GUC,"Gunnison, CO",CO,08,Colorado,82,2025,1,1,1,F
0.00,,0.00,156.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,12278,1227805,30928,ICT,"Wichita, KS",KS,20,Kansas,62,2025,1,1,1,F
0.00,,0.00,167.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,11140,1114008,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,2025,1,1,1,F
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2025,1,1,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,11375,1137502,31375,DOV,"Dover, DE",DE,10,Delaware,31,11375,1137502,31375,DOV,"Dover, DE",DE,10,Delaware,31,2025,1,1,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,2025,1,1,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,13360,1336004,33360,MLB,"Melbourne, FL",FL,12,Florida,33,13360,1336004,33360,MLB,"Melbourne, FL",FL,12,Florida,33,2025,1,1,1,P
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2025,1,1,1,G
0.00,0.00,0.00,0.00,AMQ,20201,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4,11540,1154005,30615,ELP,"El Paso, TX",TX,48,Texas,74,11540,1154005,30615,ELP,"El Paso, TX",TX,48,Texas,74,2025,1,1,1,P
0.00,0.00,0.00,0.00,AN,21894,"ADVANCED AIR, LLC",01229,D,AN,"ADVANCED AIR, LLC",1,6,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,2025,1,1,1,F
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,CommuteAir LLC dba CommuteAir,2,2,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,2025,1,1,1,F
0.00,0.00,0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,CommuteAir LLC dba CommuteAir,2,2,13029,1302902,33029,LNK,"Lincoln, NE",NE,31,Nebraska,65,13029,1302902,33029,LNK,"Lincoln, NE",NE,31,Nebraska,65,2025,1,1,1,F
